Stock_Number,Deletion,Chromosome,Background,Block,Raw_Phenotype,Numeric_Phenotype,Deletion_Set
25389,Df(3R)BSC566,3R,ORE,1,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,1,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,1,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,1,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,1,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,1,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,4,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,4,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,4,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,4,G,4,BSC
25389,Df(3R)BSC566,3R,ORE,4,G,4,BSC
27921,Df(3R)BSC849,3R,ORE,1,G,4,BSC
27921,Df(3R)BSC849,3R,ORE,1,G,4,BSC
27921,Df(3R)BSC849,3R,ORE,1,G,4,BSC
27921,Df(3R)BSC849,3R,ORE,1,G,4,BSC
27921,Df(3R)BSC849,3R,ORE,1,G,4,BSC
27921,Df(3R)BSC849,3R,ORE,1,G,4,BSC
27921,Df(3R)BSC849,3R,ORE,1,G,4,BSC
29027,Df(3R)BSC848,3R,ORE,1,G,4,BSC
29027,Df(3R)BSC848,3R,ORE,1,G,4,BSC
29027,Df(3R)BSC848,3R,ORE,1,H,3,BSC
29027,Df(3R)BSC848,3R,ORE,1,H,3,BSC
29027,Df(3R)BSC848,3R,ORE,1,H,3,BSC
29027,Df(3R)BSC848,3R,ORE,1,H,3,BSC
29027,Df(3R)BSC848,3R,ORE,4,G,4,BSC
29027,Df(3R)BSC848,3R,ORE,4,G,4,BSC
29027,Df(3R)BSC848,3R,ORE,4,G,4,BSC
29027,Df(3R)BSC848,3R,ORE,4,G,4,BSC
29027,Df(3R)BSC848,3R,ORE,4,H,3,BSC
29027,Df(3R)BSC848,3R,ORE,4,H,3,BSC
24380,Df(2R)BSC356,2R,ORE,1,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,1,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,1,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,1,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,1,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,1,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,1,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,1,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,3,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,3,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,3,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,3,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,3,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,3,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,3,G,4,BSC
24380,Df(2R)BSC356,2R,ORE,3,H,3,BSC
8673,Df(2L)BSC107,2L,ORE,1,G,4,BSC
8673,Df(2L)BSC107,2L,ORE,1,G,4,BSC
8673,Df(2L)BSC107,2L,ORE,1,G,4,BSC
8673,Df(2L)BSC107,2L,ORE,1,G,4,BSC
8673,Df(2L)BSC107,2L,ORE,1,G,4,BSC
23155,Df(2L)BSC255,2L,ORE,1,G,4,BSC
23155,Df(2L)BSC255,2L,ORE,1,G,4,BSC
23155,Df(2L)BSC255,2L,ORE,1,G,4,BSC
23155,Df(2L)BSC255,2L,ORE,1,G,4,BSC
23155,Df(2L)BSC255,2L,ORE,1,G,4,BSC
23155,Df(2L)BSC255,2L,ORE,1,G,4,BSC
23155,Df(2L)BSC255,2L,ORE,1,H,3,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
25438,Df(2R)BSC605,2R,ORE,1,G,4,BSC
24361,Df(2R)BSC337,2R,ORE,1,G,4,BSC
24361,Df(2R)BSC337,2R,ORE,1,G,4,BSC
24361,Df(2R)BSC337,2R,ORE,1,G,4,BSC
24361,Df(2R)BSC337,2R,ORE,1,G,4,BSC
24361,Df(2R)BSC337,2R,ORE,1,G,4,BSC
