Stock_Number,Deletion,Rxn_Norm,Chromosome,Background,Block,Numeric_Phenotype,Deletion_Set,Gene
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,15,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,15,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,15,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,15,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,15,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,15,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,17,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,17,5,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,17,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,17,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,17,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,17,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,17,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,17,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,ORE,17,4,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,2,7,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,2,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,3,7,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,17,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,17,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,17,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,17,6,DrosDel,Dll
9069,Df(2R)ED4065,sd[E3] X Df(Dll),2R,SAM,17,5,DrosDel,Dll
